,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
66,self_paced_reading_time,s_GPT2_medium,0.010147460451097726,-1332.8784979466045,-1333.5491129335846,0.6706149869801266,1.086536332950869,yellow
67,self_paced_reading_time,s_GPT2_large,0.03921572729537594,-1333.1015171905287,-1333.5491129335846,0.4475957430558992,0.9601731428589918,yellow
68,self_paced_reading_time,s_GPT2_xl,0.013491509588722589,-1332.6878281563718,-1333.5491129335846,0.8612847772128589,0.8975238307693401,yellow
69,self_paced_reading_time,s_GPTNeo_125M,0.005708781720606616,-1332.9363083110009,-1333.5491129335846,0.6128046225837807,1.2656386391703953,orange
70,self_paced_reading_time,s_GPTNeo,0.0853687676636835,-1333.2695566764705,-1333.5491129335846,0.27955625711410903,0.826968478753186,darkgrey
71,self_paced_reading_time,s_GPTNeo_large,0.030149139928667926,-1332.7810641149604,-1333.5491129335846,0.7680488186242656,0.7774412596699046,yellow
72,self_paced_reading_time,cloze_p_smoothed,0.2812123749502173,-1333.2806060429346,-1333.5491129335846,0.26850689065008737,0.5193125857282975,darkgrey
73,self_paced_reading_time,cloze_s,0.3556117811253717,-1333.554032078628,-1333.5491129335846,-0.004919145043459139,0.6105899727948705,darkgrey
74,self_paced_reading_time,rating_mean,0.0028774415374897954,-1331.7900595889082,-1333.5491129335846,1.7590533446764312,0.6037618733054201,orange
75,ELAN,bigram,0.9981175536986052,-440.4874112959287,-440.4285805027497,-0.05883079317902684,0.06869607270963198,darkgrey
76,ELAN,trigram,1.0,-440.4874066445033,-440.4285805027497,-0.058826141753627326,0.037390908615679515,darkgrey
77,ELAN,tetragram,0.9999999897105635,-440.492737086481,-440.4285805027497,-0.06415658373128963,0.02137705355927511,darkgrey
78,ELAN,psg,0.8859745822905944,-440.4602234618319,-440.4285805027497,-0.03164295908220538,0.20179230479800445,darkgrey
79,ELAN,rnn,0.9999984028310808,-440.67587700074347,-440.4285805027497,-0.24729649799377285,0.1011132753570324,darkgrey
80,ELAN,s_GPT2,0.32181584684549536,-440.1152825054752,-440.4285805027497,0.31329799727450336,0.4291969318828493,darkgrey
81,ELAN,s_GPT2_medium,0.9938357719454538,-440.55360731831615,-440.4285805027497,-0.12502681556645712,0.1405542046489683,darkgrey
82,ELAN,s_GPT2_large,0.9957376560109075,-440.5176803149335,-440.4285805027497,-0.0890998121838038,0.12097363380735081,darkgrey
