,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
40,LAN,s_GPTNeo,0.03631681115919696,-442.8637029050036,-443.83426990877945,0.9705670037758409,0.5366403570598978,yellow
41,LAN,s_GPTNeo_large,0.04401188684366242,-442.86034694854015,-443.83426990877945,0.9739229602392925,0.520255595707872,yellow
42,LAN,cloze_p_smoothed,0.23417558973906585,-443.1657745734434,-443.83426990877945,0.668495335336047,0.2558124875674737,darkgrey
43,LAN,cloze_s,0.032529294848733875,-442.64659586610503,-443.83426990877945,1.1876740426744163,0.3277920055429267,yellow
44,LAN,rating_mean,0.00031246203582253434,-441.6267392070554,-443.83426990877945,2.2075307017240675,0.6165747930141041,tomato
45,ELAN,bigram,0.9620052826674859,-440.9456371909547,-440.4285805027497,-0.5170566882050025,0.3565657724744666,darkgrey
46,ELAN,trigram,0.9950088531307476,-441.0141552212369,-440.4285805027497,-0.5855747184871802,0.3834936883346992,darkgrey
47,ELAN,tetragram,0.9899110209906015,-441.0140148403895,-440.4285805027497,-0.5854343376398106,0.40820849064936693,darkgrey
48,ELAN,psg,0.9655869245231457,-441.0300125154225,-440.4285805027497,-0.6014320126728308,0.4336242613426187,darkgrey
49,ELAN,rnn,0.995718929393296,-441.17498238327863,-440.4285805027497,-0.7464018805289356,0.3935180410779847,darkgrey
50,ELAN,s_GPT2,0.616826563793048,-440.6353037129109,-440.4285805027497,-0.20672321016121487,0.5688622416419519,darkgrey
51,ELAN,s_GPT2_medium,0.9755981690869333,-441.03384702721195,-440.4285805027497,-0.6052665244622517,0.4530877957470773,darkgrey
52,ELAN,s_GPT2_large,0.961122492383018,-441.00155289691156,-440.4285805027497,-0.5729723941618659,0.4466836063546561,darkgrey
53,ELAN,s_GPT2_xl,0.9682607011685577,-440.99486586768944,-440.4285805027497,-0.5662853649397448,0.4250630150835873,darkgrey
54,ELAN,s_GPTNeo_125M,0.7350514089271531,-440.7926532620013,-440.4285805027497,-0.36407275925159865,0.5253210112248212,darkgrey
55,ELAN,s_GPTNeo,0.9156104761649052,-441.00380869513054,-440.4285805027497,-0.5752281923808482,0.48860224864514445,darkgrey
56,ELAN,s_GPTNeo_large,0.9696556705943543,-441.0062413990951,-440.4285805027497,-0.5776608963453782,0.4546638473332072,darkgrey
57,ELAN,cloze_p_smoothed,0.7141350084291538,-440.71866088638455,-440.4285805027497,-0.29008038363485866,0.49678228373725364,darkgrey
58,ELAN,cloze_s,0.9730284462842127,-441.0593479150546,-440.4285805027497,-0.6307674123049196,0.4729685962385687,darkgrey
59,ELAN,rating_mean,0.5758836118100397,-440.6213570915056,-440.4285805027497,-0.19277658875591897,0.5493829478420167,darkgrey
60,PNP,bigram,0.8949487437020898,-369.3956213682528,-368.99367070947574,-0.401950658777082,0.4584088598088299,darkgrey
61,PNP,trigram,0.9093154925893263,-369.25213609865864,-368.99367070947574,-0.25846538918290207,0.2959665588065516,darkgrey
62,PNP,tetragram,0.9530800395407877,-369.3776355823749,-368.99367070947574,-0.3839648728991847,0.30306138909203223,darkgrey
63,PNP,psg,0.9483396675988472,-369.46145482512895,-368.99367070947574,-0.46778411565321676,0.4015813015275284,darkgrey
64,PNP,rnn,0.9737177984303113,-369.63227858493167,-368.99367070947574,-0.6386078754559321,0.447646912427628,darkgrey
65,PNP,s_GPT2,0.8197189382987642,-369.0025813928634,-368.99367070947574,-0.008910683387682639,0.3258937308792551,darkgrey
66,PNP,s_GPT2_medium,0.8510139449449493,-369.04026884366795,-368.99367070947574,-0.04659813419220882,0.3040518417112106,darkgrey
67,PNP,s_GPT2_large,0.8418087094021518,-368.9695432260528,-368.99367070947574,0.02412748342294435,0.28443749489263725,darkgrey
68,PNP,s_GPT2_xl,0.8388511906060832,-368.9883215595347,-368.99367070947574,0.005349149941025644,0.2789518569180527,darkgrey
69,PNP,s_GPTNeo_125M,0.6810268995692217,-369.0062372618613,-368.99367070947574,-0.012566552385578689,0.3572761509346171,darkgrey
70,PNP,s_GPTNeo,0.6985453990512787,-368.85607420046506,-368.99367070947574,0.13759650901067744,0.2946244543469103,darkgrey
71,PNP,s_GPTNeo_large,0.6285308329116178,-368.8301281185196,-368.99367070947574,0.16354259095612633,0.30477334483132074,darkgrey
72,PNP,cloze_p_smoothed,0.754356543129932,-368.8800043367618,-368.99367070947574,0.11366637271396485,0.2892253608812723,darkgrey
73,PNP,cloze_s,0.8905144690659524,-369.0802481847,-368.99367070947574,-0.08657747522426007,0.31322519410314004,darkgrey
74,PNP,rating_mean,0.8496595477105029,-369.1749896568196,-368.99367070947574,-0.18131894734386833,0.40406791867378666,darkgrey
75,EPNP,bigram,0.718626325880747,-338.1017840212943,-337.8449962473905,-0.25678777390379537,0.5388426331822898,darkgrey
76,EPNP,trigram,0.6500199004909565,-337.9446344341383,-337.8449962473905,-0.09963818674782488,0.5049069379240274,darkgrey
77,EPNP,tetragram,0.6219775749973895,-337.9444554789605,-337.8449962473905,-0.0994592315699947,0.5114858447899726,darkgrey
78,EPNP,psg,0.8277489734611183,-338.1588151320717,-337.8449962473905,-0.31381888468121133,0.48728620924690325,darkgrey
79,EPNP,rnn,0.5445315149689716,-337.92110909904585,-337.8449962473905,-0.07611285165535264,0.5346545882388718,darkgrey
80,EPNP,s_GPT2,0.25590402936529943,-337.76041812647105,-337.8449962473905,0.08457812091944561,0.7219651801213722,darkgrey
81,EPNP,s_GPT2_medium,0.42793072243580793,-337.9871545542738,-337.8449962473905,-0.1421583068832888,0.6543081719384932,darkgrey
82,EPNP,s_GPT2_large,0.267878230238628,-337.6910713702464,-337.8449962473905,0.15392487714410663,0.6944340167929864,darkgrey
83,EPNP,s_GPT2_xl,0.22817830030182493,-337.64459909559963,-337.8449962473905,0.2003971517908667,0.7918519395860953,darkgrey
84,EPNP,s_GPTNeo_125M,0.22912737835091385,-337.61693292230063,-337.8449962473905,0.22806332508986316,0.7858272169939341,darkgrey
85,EPNP,s_GPTNeo,0.15711705824267905,-337.26124431282744,-337.8449962473905,0.583751934563054,0.7152589886134072,darkgrey
86,EPNP,s_GPTNeo_large,0.10267344776470581,-337.1495475775983,-337.8449962473905,0.6954486697921993,0.8944460824006664,darkgrey
87,EPNP,cloze_p_smoothed,0.5298268142148403,-337.81551249994163,-337.8449962473905,0.029483747448864506,0.5169647324990813,darkgrey
88,EPNP,cloze_s,0.3787825126239832,-337.7813930031038,-337.8449962473905,0.06360324428669628,0.5756293705357868,darkgrey
89,EPNP,rating_mean,0.20183296842732446,-337.3895886192145,-337.8449962473905,0.45540762817597624,0.4944016410266766,darkgrey
