,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
41,RTrightbound,s_GPTNeo_large,0.008275804416587677,-1430.7746339381035,-1432.3618097579133,1.5871758198097723,0.6624031586758081,orange
42,RTrightbound,cloze_p_smoothed,0.0005943618267355236,-1430.626198042733,-1432.3618097579133,1.7356117151803119,0.9564664014847388,tomato
43,RTrightbound,cloze_s,1.5007410950571612e-05,-1429.6564786304461,-1432.3618097579133,2.7053311274671614,1.16250463799717,tomato
44,RTrightbound,rating_mean,2.873067603240096e-13,-1425.7222026404065,-1432.3618097579133,6.639607117506785,1.66279826661894,tomato
45,RTgopast,bigram,0.004491114464760727,-1520.4138483757883,-1521.7792634875414,1.3654151117530091,0.8034785402078425,orange
46,RTgopast,trigram,0.00012796157375805209,-1519.5667053518125,-1521.7792634875414,2.212558135728841,0.9585123302648312,tomato
47,RTgopast,tetragram,2.7306214851991635e-05,-1518.9852263002506,-1521.7792634875414,2.794037187290769,0.9118483203836386,tomato
48,RTgopast,psg,0.00010390316511945962,-1519.3312357226364,-1521.7792634875414,2.448027764904964,0.5510884973857805,tomato
49,RTgopast,rnn,0.01510680255745702,-1520.47418591189,-1521.7792634875414,1.3050775756514668,0.5970799500311607,yellow
50,RTgopast,s_GPT2,0.035850632431668604,-1520.6298020572483,-1521.7792634875414,1.1494614302930586,0.6030293125512598,yellow
51,RTgopast,s_GPT2_medium,0.01636431972292472,-1520.421736947525,-1521.7792634875414,1.3575265400163516,0.5628567771065605,yellow
52,RTgopast,s_GPT2_large,0.01063810605613483,-1520.3429008633052,-1521.7792634875414,1.4363626242361534,0.536338859792571,yellow
53,RTgopast,s_GPT2_xl,0.003960118235025098,-1520.1238592794332,-1521.7792634875414,1.6554042081081661,0.5293395100227647,orange
54,RTgopast,s_GPTNeo_125M,0.005633208624851603,-1520.1529127105264,-1521.7792634875414,1.6263507770149772,0.5417029087087862,orange
55,RTgopast,s_GPTNeo,0.005643103060581369,-1520.2530606110029,-1521.7792634875414,1.5262028765384912,0.3336463039311917,orange
56,RTgopast,s_GPTNeo_large,0.025320899661916897,-1520.491956977238,-1521.7792634875414,1.287306510303324,0.586166995244595,yellow
57,RTgopast,cloze_p_smoothed,0.0004493132997738999,-1519.6198166073034,-1521.7792634875414,2.159446880237965,0.8448790831355589,tomato
